name,lat,lon,city,url,clat,clon,cname,cid,cthumb,slope,rating,par,holes,yardage
Camargo,39.179554,-84.33564,Cincinnati,http://www.golfadvisor.com//courses/15005-camargo-club/,39.18109768,-84.33384418,Camargo Club,15005,//cdn.gdol.com/app/courses/image/thumb/43976.jpg,134,72.1,70,18,6659
Scioto,40.002,-83.07,Upper Arlington,http://www.golfadvisor.com//courses/15006-scioto-country-club/,40.00209251,-83.07607055,Scioto Country Club,15006,//cdn.gdol.com/app/courses/image/thumb/9629.jpg,142,74.3,70,18,7140
Double Eagle,40.238413,-82.94507,Galena,http://www.golfadvisor.com//courses/15008-double-eagle-club/,40.23856222,-82.94772655,Double Eagle Club,15008,//cdn.gdol.com/app/courses/image/thumb/65396.jpg,140,74.8,72,18,7140
The Golf Club,40.0695,-82.78,New Albany,http://www.golfadvisor.com//courses/15009-golf-club-the/,40.06694511,-82.78672457,"Golf Club, The",15009,//cdn.gdol.com/app/courses/image/thumb/65181.jpg,140,75.3,72,18,7268
Inverness,41.646389,-83.65027,Toledo,http://www.golfadvisor.com//courses/15010-inverness-club/,41.65255321,-83.65191936,Inverness Club,15010,//cdn.gdol.com/app/courses/image/thumb/18169.jpg,151,76.8,71,18,7323
Karsten Creek Golf Club,36.102169,-97.118579,Stillwater,http://www.golfadvisor.com//courses/15011-karsten-creek-golf-club/,36.10185634,-97.18531609,Karsten Creek Golf Club,15011,//cdn.gdol.com/app/courses/image/thumb/59856.jpg,152,77.2,72,18,7449
Merion (East),40.001,-75.31,Ardmore,http://www.golfadvisor.com//courses/15013-east-at-merion-golf-club/,40.00215826,-75.31211615,East at Merion Golf Club,15013,//cdn.gdol.com/app/courses/image/thumb/564.jpg,142,72.4,70,18,6482
Laurel Valley,40.2246,-79.23942,Ligonier,http://www.golfadvisor.com//courses/15015-laurel-valley-golf-club/,40.22447338,-79.24052385,Laurel Valley Golf Club,15015,//cdn.gdol.com/app/courses/image/thumb/65421.jpg,148,75.7,72,18,7327
Wannamoisett,41.846757,-71.359086,East Providence,http://www.golfadvisor.com//courses/15017-wannamoisett-country-club/,41.84445528,-71.35882585,Wannamoisett Country Club,15017,//cdn.gdol.com/app/courses/image/thumb/41090.jpg,135,72.8,69,18,6732
The Heritage Club,33.442135,-79.159785,Pawleys Island,http://www.golfadvisor.com//courses/1502-heritage-club-the/,33.438946,-79.1696,"Heritage Club, The",1502,//cdn.gdol.com/app/courses/image/thumb/1902.jpg,138,74.9,71,18,7118
Kiawah Island (Ocean),32.6113,-80.022,Kiawah Island,http://www.golfadvisor.com//courses/15020-ocean-at-kiawah-island-resort/,32.61248399,-80.02263844,Ocean at Kiawah Island Resort,15020,//cdn.gdol.com/app/courses/image/thumb/47111.jpg,144,77.3,72,18,7356
